Region,Team,Qualificationmethod,.mw-parser-output .tooltip-dotted{border-bottom:1px dotted;cursor:help}Prev.apps,Previous best result,WBSC WorldRankings[7]
Americas,Canada,Automatically qualified,4,"Round 1 (2006, 2009, 2013, 2017)",14
Americas,Colombia,Automatically qualified,1,Round 1 (2017),11
Americas,Cuba,Automatically qualified,4,Runners-up (2006),8
Americas,Dominican Republic,Automatically qualified,4,Champions (2013),9
Americas,Mexico,Automatically qualified,4,"Round 2 (2006, 2009)",5
Americas,Puerto Rico,Automatically qualified,4,"Runners-up (2013, 2017)",13
Americas,United States,Automatically qualified as hosts,4,Champions (2017),3
Americas,Venezuela,Automatically qualified,4,Third place (2009),6
Americas,Panama,Qualifier 2 Winners,2,"Round 1 (2006, 2009)",12
Americas,Nicaragua,Qualifier 2 Runners-up,0,None (debut),17
Asia,China,Automatically qualified,4,"Round 1 (2006, 2009, 2013, 2017)",30
Asia,Chinese Taipei,Automatically qualified as hosts,4,Round 2 (2013),2
Asia,Japan,Automatically qualified as hosts,4,"Champions (2006, 2009)",1
Asia,South Korea,Automatically qualified,4,Runners-up (2009),4
Europe,Israel,Automatically qualified,1,Round 2 (2017),20
Europe,Italy,Automatically qualified,4,Round 2 (2013),16
Europe,Netherlands,Automatically qualified,4,"Fourth place (2013, 2017)",7
Europe,Great Britain,Qualifier 1 Winners,0,None (debut),22
Europe,Czech Republic,Qualifier 1 Runners-up,0,None (debut),15
Oceania,Australia,Automatically qualified,4,"Round 1 (2006, 2009, 2013, 2017)",10
