Territory,Rights holder
Australia,ESPN Australia
New Zealand,ESPN Australia
Brazil,ESPN Brazil
Canada,Sportsnet/RDS
Colombia,Telecaribe/Win Sports[24]
Cuba,"Tele Rebelde, Digital Channels: HD 1 y HD 2."
Dominican Republic,CDN Sports-Max[25]
Cyprus,Fox Sports Greece
Greece,Fox Sports Greece
Turkey,Fox Sports Turkey
Italy,Fox Sports Italy [it][26]
Malta,Fox Sports Italy [it][26]
San Marino,Fox Sports Italy [it][26]
Israel,Fox Sports Israel
Japan,"J Sports, TBS, TV Asahi"
Latin America,DirecTV Sports (es)[27]
Southeast Asia,Fox Sports Asia
Hong Kong,Fox Sports Asia
Macau,Fox Sports Asia
Taiwan,Fox Sports Asia
Mexico,Televisa Deportes
Netherlands,Fox Sports Netherlands
Philippines,Sports5
Puerto Rico,Wapa 2 Deportes[28]
Russia,Viasat Sport (semifinals and final)[29]
South Korea,"JTBC, JTBC3 Fox Sports"
Taiwan,Eleven Sports/PTS
United States,MLB Network/ESPN Deportes[30]
Venezuela,Direct TV/IVC/TLT/TVes
