0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Team
,,,,,,,,,,,,,,,,,,,,,Bayamon
0,"Mojica, Sammy",19:20,1,2,50%,0,2,0%,0,0,0%,0,1,1,1,1,0,0,0,2,Bayamon
7,"Duran, Cliff",27:19,5,8,63%,1,1,100%,4,4,100%,0,3,3,6,2,0,2,0,17,Bayamon
8,"Nuñez, Angel",25:51,5,5,100%,1,7,14%,0,0,0%,2,4,6,1,1,2,0,1,13,Bayamon
13,"Rodriguez, Angel Daniel",6:59,1,1,100%,0,1,0%,0,0,0%,0,3,3,0,1,1,0,0,2,Bayamon
20,"Negron, Alexis J.",3:11,1,1,100%,0,0,0%,1,1,100%,0,0,0,0,0,0,0,0,3,Bayamon
22,"Santiago, Jr., Benito",22:12,2,4,50%,1,4,25%,0,0,0%,0,4,4,5,2,0,2,0,7,Bayamon
23,"Hernandez, Dewan",17:40,4,6,67%,0,2,0%,2,2,100%,0,3,3,0,1,1,1,1,10,Bayamon
24,"Pearson, Ryan",15:37,1,1,100%,0,1,0%,2,2,100%,0,6,6,0,2,2,0,0,4,Bayamon
28,"Romero, Ismael",22:18,7,9,78%,0,0,0%,2,2,100%,0,8,8,2,1,4,2,0,16,Bayamon
31,"Martinez, Giovanny",3:11,0,2,0%,0,0,0%,1,2,50%,0,1,1,0,1,0,0,0,1,Bayamon
33,"Cuascut, Luis D",10,0,0,0%,0,0,0%,0,0,0%,0,1,1,0,0,1,0,0,0,Bayamon
44,"Mojica, Javier",26:22,4,6,67%,2,3,67%,4,5,80%,0,4,4,8,2,1,0,0,18,Bayamon
,Totals:,,31,45,69%,5,21,24%,16,18,89%,2,38,40,23,14,12,7,2,93,Bayamon
